Card name,Set code,Set name,Card number,Foil,rarity,quantity,Scryfall ID
"¡Yip, yip!",tla,Avatar: The Last Airbender,,non foil,common,1,87a33f6c-be01-41f0-a062-aea780a204ad
"Aang, último maestro del aire",tla,Avatar: The Last Airbender,,non foil,uncommon,1,c2f3e0d2-ffe2-4f01-866b-f639e17ee9aa
Abeja enorme y fiera,hob,The Hobbit,,non foil,common,1,117e8ea4-3a27-4ae0-90b1-70170fdd6c81
Abresendas del Bosque Negro,hob,The Hobbit,,non foil,uncommon,1,6cc68518-532e-4b4e-9f50-4dd04e16be4e
Acto desalmado,tla,Avatar: The Last Airbender,,non foil,uncommon,1,1d842174-0dc1-44f4-acc0-7312c7929cae
Adoctrinamiento del Dai Li,tla,Avatar: The Last Airbender,,non foil,common,1,bdda04cc-7f47-4fbd-b2ad-75802eec1eff
Agarre acuático,tla,Avatar: The Last Airbender,,non foil,common,1,aec4a407-3b25-4f53-b4d1-312558a1cdc0
Alcaide vindicativo,tla,Avatar: The Last Airbender,,non foil,common,1,b3c536bd-5293-44a4-85e1-5b457ac10299
Aldeanos vengativos,tla,Avatar: The Last Airbender,,non foil,uncommon,2,1f948250-3485-4a13-88be-ec91ec29717e
Along the Crooked Way,hob,The Hobbit,60,non foil,rare,1,3696d65c-fffd-4685-bb2d-e8769bf476e3
Amotinador de la Roca Hirviente,tla,Avatar: The Last Airbender,,non foil,rare,1,19cce156-2824-45c6-926d-76936a9ba669
Anillos cortantes,tla,Avatar: The Last Airbender,,foil,common,1,1e6b989e-c953-4f99-ac31-14ce88c874ab
Anillos cortantes,tla,Avatar: The Last Airbender,,non foil,common,3,1e6b989e-c953-4f99-ac31-14ce88c874ab
Animales de granja curiosos,tla,Avatar: The Last Airbender,,non foil,common,2,7fb5b8ce-cdc0-42f2-88c6-0ae6a5c1d0f8
Apresamiento del río encantado,hob,The Hobbit,,non foil,common,1,39c8e521-b84b-44d9-beb4-7354e9921720
Araña gorda y vieja que no me ve,hob,The Hobbit,,foil,uncommon,1,8d0e10a8-0269-45dd-b845-5b849a1d9bbc
Arpista del Rey Elfo,hob,The Hobbit,,non foil,common,1,cbcc7ba7-7067-487f-88ab-41d464291037
Asaltante de la Nación del Fuego,tla,Avatar: The Last Airbender,,non foil,common,1,b3045219-6a3d-4f48-8c35-b86e840990ea
Bard's Company,hob,The Hobbit,146,non foil,rare,1,d14aa2ff-7bbd-47a6-8e36-481e56302a62
Barril de huida,hob,The Hobbit,,foil,rare,1,2a4b2480-7a84-4b2d-8380-e1d6313dc7c3
Belladonna Took,hob,The Hobbit,214,non foil,rare,1,0ff767b1-b04d-4d1d-bc91-3bd1361c5ee8
"Beorn, anfitrión reticente",hob,The Hobbit,,non foil,common,1,c245aea7-afef-47b1-a064-408ac33b16e5
"Beorn, Reluctant Host",hob,The Hobbit,118,non foil,common,3,804589b7-3ef9-473d-97cc-c61a2d41f70d
Beorn's Hospitality,hob,The Hobbit,120,non foil,uncommon,1,153ca57e-30f0-4ad7-ae9d-c55cbf0fd4c9
"Bifur, jinete melodioso",hob,The Hobbit,,non foil,uncommon,1,59588b7f-75cb-4379-b727-1bba3af914bc
"Bilbo Bolsón, saqueador",hob,The Hobbit,,non foil,common,1,3df29300-fd52-4225-be48-93fe7590eb7e
"Bilbo, Luckwearer",hob,The Hobbit,218,non foil,uncommon,3,b5fe776d-00c2-4d5d-9493-77dd754aa728
"Bilbo, Thief in the Night",hob,The Hobbit,33,non foil,mythic,1,484c7f83-8339-4ae1-8350-68ce1f7d05a3
